"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"R27";"R_1206_HandSoldering";1;"4.7k";;;
2;"R26,R25,R24,R21,R20,R19,R18,R17,R16,R15,R14,R13,R12,R11,R10,R9,R8,R7,R6,R5,R4,R3,R2";"R_1206_HandSoldering";23;"10k";;;
3;"R23,R1";"R_1206_HandSoldering";2;"330";;;
4;"R22";"R_1206_HandSoldering";1;"1k";;;
5;"D3,D2";"LED_1206";2;"Led_Small";;;
6;"D1";"LED_1206";1;"ACT";;;
7;"C6,C4,C3";"C_1206_HandSoldering";3;"100nF";;;
8;"C2,C1";"C_1206_HandSoldering";2;"22pF";;;
9;"WB";"amigaWorkBench1-SIlkScreenBack";1;"LOGO";;;
10;"LOGO";"amigaLogo_BW_31x12mm-SilkScreenBack";1;"LOGO";;;
11;"J2";"IDC-Header_2x17_P2.54mm_Vertical_Lock";1;"floppy_conn";;;
12;"SW1";"SW_SPST_FSMSM_3D";1;"~mRESET";;;
13;"Y1";"Crystal_HC49-SD_SMD";1;"16MHz";;;
14;"U2";"SSOP-28_5.3x10.2mm_Pitch0.65mm";1;"FT232RL";;;
15;"Q10,Q9,Q8,Q7,Q6,Q5,Q4,Q3,Q2,Q1";"SOT-23";10;"BSS138";;;
16;"P1";"Pin_Header_Straight_1x03";1;"CONN_01X03";;;
17;"J6";"Pin_Header_Angled_1x04";1;"PWRIN";;;
18;"J3";"Pin_Header_Straight_1x04";1;"floppy_power";;;
19;"J1";"Pin_Header_Straight_1x02";1;"bothdrv";;;
20;"CON1";"Pin_Header_Angled_2x03";1;"CONN_02X03";;;
21;"C5";"c_elec_5x5.7";1;"2.2uF";;;
22;"U1";"TQFP-32_7x7mm_Pitch0.8mm";1;"ATMEGA88-A";;;
23;"P2,P3,P4,P5";"1pin";4;"CONN_01X01";;;
24;"J5";"USB_Mini-B_Large_Pads";1;"USB_B";;;
25;"J7";"USB_Micro-B_Large_Pads";1;"USB_OTG";;;
26;"OSHW";"Symbol_OSHW-Logo_SilkScreen";1;"Symbol_OSHW-Logo_SilkScreen";;;
